chateau_name,appellation,search_name_ascii,search_name_kana,notes
CHÂTEAU CORCONNAC,HAUT-MÉDOC,CHATEAU CORCONNAC,シャトー CORCONNAC,CRU BOURGEOIS
CHÂTEAU CROIX DU TRALE,HAUT-MÉDOC,CHATEAU CROIX DU TRALE,シャトー クロワ デュ TRALE,CRU BOURGEOIS
CHÂTEAU DASVIN BEL AIR,HAUT-MÉDOC,CHATEAU DASVIN BEL AIR,シャトー DASVIN ベル AIR,CRU BOURGEOIS
CHÂTEAU DEVISE D’ARDILLEY,HAUT-MÉDOC,CHATEAU DEVISE D'ARDILLEY,シャトー DEVISE ダ ARDILLEY,CRU BOURGEOIS
CHÂTEAU DUTHIL,HAUT-MÉDOC,CHATEAU DUTHIL,シャトー DUTHIL,CRU BOURGEOIS
CHÂTEAU LA FON DU BERGER,HAUT-MÉDOC,CHATEAU LA FON DU BERGER,シャトー ラ フォン デュ BERGER,CRU BOURGEOIS
CHÂTEAU FONPIQUEYRE,HAUT-MÉDOC,CHATEAU FONPIQUEYRE,シャトー FONPIQUEYRE,CRU BOURGEOIS
CHÂTEAU DE GIRONVILLE,HAUT-MÉDOC,CHATEAU DE GIRONVILLE,シャトー ド GIRONVILLE,CRU BOURGEOIS
CHÂTEAU GRAND CLAPEAU OLIVIER,HAUT-MÉDOC,CHATEAU GRAND CLAPEAU OLIVIER,シャトー グラン CLAPEAU OLIVIER,CRU BOURGEOIS
CHÂTEAU GRAND MEDOC,HAUT-MÉDOC,CHATEAU GRAND MEDOC,シャトー グラン メドック,CRU BOURGEOIS
CHÂTEAU GRANDIS,HAUT-MÉDOC,CHATEAU GRANDIS,シャトー GRANDIS,CRU BOURGEOIS
CHÂTEAU D’HANTEILLAN,HAUT-MÉDOC,CHATEAU D'HANTEILLAN,シャトー ダ HANTEILLAN,CRU BOURGEOIS
CHÂTEAU HAUT BEYZAC,HAUT-MÉDOC,CHATEAU HAUT BEYZAC,シャトー オー BEYZAC,CRU BOURGEOIS
CHÂTEAU HAUT LOGAT,HAUT-MÉDOC,CHATEAU HAUT LOGAT,シャトー オー LOGAT,CRU BOURGEOIS
CHÂTEAU HAUT MADRAC,HAUT-MÉDOC,CHATEAU HAUT MADRAC,シャトー オー MADRAC,CRU BOURGEOIS
CHÂTEAU LABORDE,HAUT-MÉDOC,CHATEAU LABORDE,シャトー LABORDE,CRU BOURGEOIS
CHÂTEAU LACOUR JACQUET,HAUT-MÉDOC,CHATEAU LACOUR JACQUET,シャトー LACOUR JACQUET,CRU BOURGEOIS
CHÂTEAU LAMOTHE-CISSAC,HAUT-MÉDOC,CHATEAU LAMOTHE-CISSAC,シャトー LAMOTHE CISSAC,CRU BOURGEOIS
CHÂTEAU LANDAT,HAUT-MÉDOC,CHATEAU LANDAT,シャトー LANDAT,CRU BOURGEOIS
CHÂTEAU LA LAUZETTE DECLERCQ,HAUT-MÉDOC,CHATEAU LA LAUZETTE DECLERCQ,シャトー ラ LAUZETTE DECLERCQ,CRU BOURGEOIS
CHÂTEAU LIVERSAN,HAUT-MÉDOC,CHATEAU LIVERSAN,シャトー LIVERSAN,CRU BOURGEOIS
CHÂTEAU MAGNOL,HAUT-MÉDOC,CHATEAU MAGNOL,シャトー MAGNOL,CRU BOURGEOIS
CHÂTEAU MARTIN,HAUT-MÉDOC,CHATEAU MARTIN,シャトー マルタン,CRU BOURGEOIS
CHÂTEAU MAUCAMPS,HAUT-MÉDOC,CHATEAU MAUCAMPS,シャトー MAUCAMPS,CRU BOURGEOIS
CHÂTEAU MAURAC,HAUT-MÉDOC,CHATEAU MAURAC,シャトー MAURAC,CRU BOURGEOIS
CHÂTEAU MIQUEU,HAUT-MÉDOC,CHATEAU MIQUEU,シャトー MIQUEU,CRU BOURGEOIS
CHÂTEAU LE MONTEIL D’ARSAC,HAUT-MÉDOC,CHATEAU LE MONTEIL D'ARSAC,シャトー ル MONTEIL ダ ARSAC,CRU BOURGEOIS
CHÂTEAU MOULIN DE BLANCHON,HAUT-MÉDOC,CHATEAU MOULIN DE BLANCHON,シャトー ムーラン ド BLANCHON,CRU BOURGEOIS
CHÂTEAU MOULIN DES MOINES,HAUT-MÉDOC,CHATEAU MOULIN DES MOINES,シャトー ムーラン デ MOINES,CRU BOURGEOIS
CHÂTEAU MURET,HAUT-MÉDOC,CHATEAU MURET,シャトー MURET,CRU BOURGEOIS
CHÂTEAU PEYREDON LAGRAVETTE,HAUT-MÉDOC,CHATEAU PEYREDON LAGRAVETTE,シャトー PEYREDON LAGRAVETTE,CRU BOURGEOIS
CHÂTEAU PRIEURE DE BEYZAC,HAUT-MÉDOC,CHATEAU PRIEURE DE BEYZAC,シャトー PRIEURE ド BEYZAC,CRU BOURGEOIS
CHÂTEAU PUY CASTERA,HAUT-MÉDOC,CHATEAU PUY CASTERA,シャトー PUY CASTERA,CRU BOURGEOIS
CHÂTEAU DU RAUX,HAUT-MÉDOC,CHATEAU DU RAUX,シャトー デュ RAUX,CRU BOURGEOIS
CHÂTEAU ROLLIN,HAUT-MÉDOC,CHATEAU ROLLIN,シャトー ROLLIN,CRU BOURGEOIS
CHÂTEAU SAINT AHON,HAUT-MÉDOC,CHATEAU SAINT AHON,シャトー サン AHON,CRU BOURGEOIS
CHÂTEAU SAINT PAUL,HAUT-MÉDOC,CHATEAU SAINT PAUL,シャトー サン PAUL,CRU BOURGEOIS
CHÂTEAU SENILHAC,HAUT-MÉDOC,CHATEAU SENILHAC,シャトー SENILHAC,CRU BOURGEOIS
CHÂTEAU LA TONNELLE,HAUT-MÉDOC,CHATEAU LA TONNELLE,シャトー ラ TONNELLE,CRU BOURGEOIS
CHÂTEAU TOUR DU HAUT MOULIN,HAUT-MÉDOC,CHATEAU TOUR DU HAUT MOULIN,シャトー トゥール デュ オー ムーラン,CRU BOURGEOIS
CHÂTEAU TOUR SAINT JOSEPH,HAUT-MÉDOC,CHATEAU TOUR SAINT JOSEPH,シャトー トゥール サン JOSEPH,CRU BOURGEOIS
CHÂTEAU TOURTERAN,HAUT-MÉDOC,CHATEAU TOURTERAN,シャトー TOURTERAN,CRU BOURGEOIS
CHÂTEAU VICTORIA,HAUT-MÉDOC,CHATEAU VICTORIA,シャトー VICTORIA,CRU BOURGEOIS
CHÂTEAU VIEUX LANDAT,HAUT-MÉDOC,CHATEAU VIEUX LANDAT,シャトー ヴュー LANDAT,CRU BOURGEOIS
CHÂTEAU DE VILLAMBIS,HAUT-MÉDOC,CHATEAU DE VILLAMBIS,シャトー ド VILLAMBIS,CRU BOURGEOIS
CHÂTEAU CAPDET,LISTRAC-MÉDOC,CHATEAU CAPDET,シャトー CAPDET,CRU BOURGEOIS
CHÂTEAU DONISSAN,LISTRAC-MÉDOC,CHATEAU DONISSAN,シャトー DONISSAN,CRU BOURGEOIS
CHÂTEAU L’ERMITAGE,LISTRAC-MÉDOC,CHATEAU L'ERMITAGE,シャトー ラ ERMITAGE,CRU BOURGEOIS
CHÂTEAU LAFON,LISTRAC-MÉDOC,CHATEAU LAFON,シャトー ラフォン,CRU BOURGEOIS
CHÂTEAU LALANDE,LISTRAC-MÉDOC,CHATEAU LALANDE,シャトー ラランド,CRU BOURGEOIS
CHÂTEAU LIOUNER,LISTRAC-MÉDOC,CHATEAU LIOUNER,シャトー LIOUNER,CRU BOURGEOIS
CHÂTEAU SEMEILLAN-MAZEAU,LISTRAC-MÉDOC,CHATEAU SEMEILLAN-MAZEAU,シャトー SEMEILLAN MAZEAU,CRU BOURGEOIS
CHÂTEAU VIEUX MOULIN,LISTRAC-MÉDOC,CHATEAU VIEUX MOULIN,シャトー ヴュー ムーラン,CRU BOURGEOIS
CHÂTEAU BELLEVUE DE TAYAC,MARGAUX,CHATEAU BELLEVUE DE TAYAC,シャトー BELLEVUE ド TAYAC,CRU BOURGEOIS
CHÂTEAU LA FORTUNE,MARGAUX,CHATEAU LA FORTUNE,シャトー ラ FORTUNE,CRU BOURGEOIS
CHÂTEAU PONTAC LYNCH,MARGAUX,CHATEAU PONTAC LYNCH,シャトー PONTAC LYNCH,CRU BOURGEOIS
CHÂTEAU CHEMIN ROYAL,MOULIS-EN-MÉDOC,CHATEAU CHEMIN ROYAL,シャトー CHEMIN ROYAL,CRU BOURGEOIS
CHÂTEAU DUPLESSIS,MOULIS-EN-MÉDOC,CHATEAU DUPLESSIS,シャトー DUPLESSIS,CRU BOURGEOIS
CHÂTEAU GUITIGNAN,MOULIS-EN-MÉDOC,CHATEAU GUITIGNAN,シャトー GUITIGNAN,CRU BOURGEOIS
CHÂTEAU MYON DE L’ENCLOS,MOULIS-EN-MÉDOC,CHATEAU MYON DE L'ENCLOS,シャトー MYON ド ラ ENCLOS,CRU BOURGEOIS
CHÂTEAU POMEYS,MOULIS-EN-MÉDOC,CHATEAU POMEYS,シャトー POMEYS,CRU BOURGEOIS
CHÂTEAU PLANTEY,PAUILLAC,CHATEAU PLANTEY,シャトー PLANTEY,CRU BOURGEOIS
CHÂTEAU LA COMMANDERIE,SAINT-ESTÈPHE,CHATEAU LA COMMANDERIE,シャトー ラ COMMANDERIE,CRU BOURGEOIS
CHÂTEAU COUTELIN MERVILLE,SAINT-ESTÈPHE,CHATEAU COUTELIN MERVILLE,シャトー COUTELIN MERVILLE,CRU BOURGEOIS
CHÂTEAU PICARD,SAINT-ESTÈPHE,CHATEAU PICARD,シャトー PICARD,CRU BOURGEOIS
CHÂTEAU PLANTIER ROSE,SAINT-ESTÈPHE,CHATEAU PLANTIER ROSE,シャトー PLANTIER ローズ,CRU BOURGEOIS
CHÂTEAU SAINT PIERRE DE CORBIAN,SAINT-ESTÈPHE,CHATEAU SAINT PIERRE DE CORBIAN,シャトー サン ピエール ド CORBIAN,CRU BOURGEOIS
CHÂTEAU TOUR DE PEZ,SAINT-ESTÈPHE,CHATEAU TOUR DE PEZ,シャトー トゥール ド PEZ,CRU BOURGEOIS
CHÂTEAU TOUR SAINT FORT,SAINT-ESTÈPHE,CHATEAU TOUR SAINT FORT,シャトー トゥール サン FORT,CRU BOURGEOIS
